year,snow_ha
2000.0,21457.95043037378
2001.0,22614.96421750613
2002.0,24048.08206800245
2003.0,19152.598687389705
2004.0,22030.264510484074
2005.0,22081.97621092525
2006.0,24278.511150318627
2007.0,22073.090984663
2008.0,20666.479423241428
2009.0,19769.865660147057
2010.0,21358.624135925253
2011.0,18803.289399846817
2012.0,18597.086468002453
2013.0,21014.51506479167
2014.0,20044.98852869486
2015.0,18698.729813125
2016.0,19558.819153725493
2017.0,17321.119431176474
2018.0,17810.566309270835
2019.0,17508.039814662992
2020.0,18500.645497977945
2021.0,19605.646216979174
2022.0,14751.92077883579
2023.0,16463.922023511033
2024.0,17351.36171885417
2025.0,17532.200212261032
