year,snow_ha
2000.0,15603.337810128676
2001.0,17077.2512609375
2002.0,19806.11337382353
2003.0,9906.8988390625
2004.0,16817.833333566177
2005.0,18506.60221371324
2006.0,20250.330361409317
2007.0,12730.216784375
2008.0,12438.5701375
2009.0,13517.670565625
2010.0,15005.779721875
2011.0,12490.18526875
2012.0,9684.0965421875
2013.0,14886.407696875
2014.0,16675.31969257353
2015.0,10266.2415328125
2016.0,12883.6788515625
2017.0,8297.838759375
2018.0,8435.2691421875
2019.0,10402.8330609375
2020.0,12267.487321875
2021.0,11360.9202078125
2022.0,5936.789590625
2023.0,5936.0356234375
2024.0,7597.29066875
2025.0,9187.7130390625
